sio2,au_shell,spectrum_max_peak,sca_abs,distance,em,qe,fe
80,60,771,27.91157,14,2.00005,2.248791876,8.995617268
80,60,771,27.91157,16,1.91709,2.328341847,8.557201278
80,60,771,27.91157,18,1.83836,2.311868184,7.813114555
80,60,771,27.91157,20,1.76399,2.349997689,7.312395502
80,60,771,27.91157,30,1.45179,2.150635083,4.5328811
100,12,757,3.71585,4,3.74443,0.904010344,12.67490847
100,12,757,3.71585,6,3.53704,1.71673551,21.47748048
100,12,757,3.71585,8,3.28336,2.09323261,22.56599554
100,12,757,3.71585,10,3.02993,2.248770386,20.64478212
100,12,757,3.71585,12,2.78932,2.339091928,18.19885111
100,12,757,3.71585,14,2.5658,2.363561117,15.56010196
100,12,757,3.71585,16,2.36025,2.381851213,13.26876925
100,12,757,3.71585,18,2.17208,2.34875708,11.08127508
100,12,757,3.71585,20,2.00006,2.310474888,9.242454075
100,12,757,3.71585,30,1.33435,2.094240324,3.728773792
100,22,705,8.10361,4,4.55028,0.768452029,15.9108362
100,22,705,8.10361,6,4.33004,1.742241548,32.66571607
100,22,705,8.10361,8,4.11233,2.307395679,39.02096371
100,22,705,8.10361,10,3.89254,2.603975008,39.45508469
100,22,705,8.10361,12,3.67884,2.745542195,37.15779397
100,22,705,8.10361,14,3.47624,2.803787938,33.88165907
100,22,705,8.10361,16,3.2867,2.817102411,30.43145833
100,22,705,8.10361,18,3.1105,2.818263295,27.26728992
100,22,705,8.10361,20,2.94708,2.796814503,24.29111854
100,22,705,8.10361,30,2.28945,2.576601155,13.50546444
100,32,705,13.90553,4,3.56317,0.538220849,6.833349015
100,32,705,13.90553,6,3.41381,1.388850904,16.18580553
100,32,705,13.90553,8,3.2703,2.015963659,21.56045331
100,32,705,13.90553,10,3.12237,2.36639113,23.07040719
100,32,705,13.90553,12,2.97536,2.54268717,22.5098174
100,32,705,13.90553,14,2.83342,2.627674035,21.09567372
100,32,705,13.90553,16,2.69864,2.668348119,19.43266638
100,32,705,13.90553,18,2.57181,2.632443965,17.41152845
100,32,705,13.90553,20,2.45294,2.680235332,16.12674722
100,32,705,13.90553,30,1.96331,2.413320864,9.302353193
100,42,730,21.12801,4,2.81774,0.394744119,3.134133581
100,42,730,21.12801,6,2.72879,1.116528552,8.314000825
100,42,730,21.12801,8,2.62616,1.711135276,11.80121463
100,42,730,21.12801,10,2.51786,2.092599611,13.26628421
100,42,730,21.12801,12,2.40923,2.313888164,13.43070745
100,42,730,21.12801,14,2.30348,2.433091028,12.91002992
100,42,730,21.12801,16,2.20234,2.431940124,11.79564277
100,42,730,21.12801,18,2.1065,2.421394266,10.74455508
100,42,730,21.12801,20,2.01614,2.384534781,9.692705858
100,42,730,21.12801,30,1.63857,2.185459216,5.867764899
100,50,771,26.32959,4,2.40985,0.306051311,1.777355353
100,50,771,26.32959,6,2.33476,0.789476553,4.303519002
100,50,771,26.32959,8,2.24946,1.116974585,5.651969914
100,50,771,26.32959,10,2.16026,1.296011005,6.04812471
100,50,771,26.32959,12,2.07108,1.404943532,6.02632596
100,50,771,26.32959,14,1.98432,1.437782784,5.661306896
100,50,771,26.32959,16,1.90126,1.451596445,5.247215715
100,50,771,26.32959,18,1.82247,1.463236748,4.859990001
100,50,771,26.32959,20,1.74805,1.456607959,4.450926063
100,50,771,26.32959,30,1.43583,1.388728201,2.863012876
120,12,800,4.7203,4,2.24005,0.393517197,1.974600037
120,12,800,4.7203,6,2.06158,0.930810852,3.956050461
120,12,800,4.7203,8,1.89568,1.282570943,4.609050357
120,12,800,4.7203,10,1.73746,1.482632293,4.475721813
120,12,800,4.7203,12,1.58886,1.585460574,4.002457326
120,12,800,4.7203,14,1.45096,1.634839907,3.441803805
120,12,800,4.7203,16,1.32383,1.621227907,2.841243846
120,12,800,4.7203,18,1.20701,1.657226894,2.414369349
120,12,800,4.7203,20,1.09978,1.608526494,1.945538608
120,12,800,4.7203,30,0.683426,1.417230904,0.661947594
120,22,743,10.64174,4,3.24907,0.527516514,5.568704795
120,22,743,10.64174,6,3.08957,1.35498548,12.93393637
120,22,743,10.64174,8,2.94152,1.918919858,16.60353066
120,22,743,10.64174,10,2.79173,2.240730342,17.46370642
120,22,743,10.64174,12,2.64432,2.413122082,16.87358305
